id,link,name,status,lat,lng,year,first,area,population
147,Монастырщина (Воронежская область),Монастырщина,Село,49.8318694,40.9211056,1595,,,1093
148,Новоникольск (Воронежская область),Новоникольск,Село,49.6262278,40.3823417,,,,103
149,Перещепное (Богучарский район),Перещепное,Хутор,49.9948722,40.5119306,,,,182
150,Плесновка,Плесновка,Село,49.6461333,40.4954528,,,,296
151,Подколодновка,Подколодновка,Село,50.0015111,40.662306,1720,,,1582
152,Полтавка (Воронежская область),Полтавка,Село,49.8747667,40.5565639,,,,523
153,Поповка (Богучарский район),Поповка,Село,49.9118361,40.496778,,,,399
154,Радченское,Радченское,Село,49.8023806,40.5023167,,,,1175
155,Расковка (Воронежская область),Расковка,Село,49.9089972,40.367,,1779,,318
156,Свобода (Богучарский район),Свобода,Село,50.028575,40.4514583,1740,,,175
157,Старотолучеево,Старотолучеево,Село,49.969075,40.759611,1716,,,375
158,Сухой Донец (село),Сухой Донец,Село,49.8072139,40.914583,1767,,,788
159,Твердохлебовка,Твердохлебовка,Село,49.936889,40.349,1720,,,726
160,Терешково (Воронежская область),Терешково,Село,49.9202722,40.6595611,,1772,,624
161,Тихий Дон (Воронежская область),Тихий Дон,Хутор,50.0659111,40.5182472,,1779,,48
162,Травкино (Воронежская область),Травкино,Село,49.81083,40.38167,1929,,,428
163,Филоново (Воронежская область),Филоново,Село,50.0405778,40.4864667,,1740,,596
164,Шуриновка,Шуриновка,Село,49.7350222,40.3921472,,,,09 человек (2005
165,Южный (Воронежская область),Южный,Посёлок,49.7533861,40.777111,,,,413
166,Алексеевский (Воронежская область),Алексеевский,Посёлок,50.861208,40.338395,,,,
167,Благовещенский (Бутурлиновский район),Благовещенский,Посёлок,50.881317,40.347204,,,,
168,Бутурлиновка,Бутурлиновка,Город,50.825,40.58889,1740,,"37,72 км²",24007
169,Васильевка (Бутурлиновский район),Васильевка,Село,50.920373,40.979639,,,,868
170,Великоархангельское,Великоархангельское,Село,50.85,40.76,,,,134
171,Верхние Озерки,Верхние Озерки,Посёлок,50.929849,40.377621,,,,
172,Гвазда,Гвазда,Село,50.75278,40.4825,,,,2183
173,Данило (Бутурлиновский район),Данило,Хутор,50.64185,40.50615,,,,
174,Дмитриевка (Бутурлиновский район),Дмитриевка,Село,50.780544,40.524401,,,,92
175,Елизаветино (Воронежская область),Елизаветино,Село,50.7658972,40.8086722,,,,88
176,Зелёный (Воронежская область),Зелёный,Посёлок,50.797269,40.659056,,,,5
177,Зелёный Гай (Воронежская область),Зелёный Гай,Посёлок,50.81111,40.52944,,,,40
178,Земледелец (Воронежская область),Земледелец,Посёлок,50.87056,40.52778,,,"0,3853 км²",4
179,Карайчевка,Карайчевка,Село,50.885951,40.283833,,,,60
180,Клёповка,Клеповка,Село,50.729806,40.463634,,,,2110
